ringno_season,yday,yday200,pfmg,sex
CV67913_2015-2016,37,202,0.563875,unknown
CV56072_2009-2010,84,249,0.563875,unknown
CV09619_2007-2008,138,303,1,unknown
CC46254_2019-2020,346,146,0.211125,unknown
CC46263_2019-2020,346,146,0.32225000000000004,unknown
CV42955_2007-2008,9,174,1,unknown
CC46259_2019-2020,346,146,0,unknown
CA49835_2021-2022,334,134,0.7673749999999999,unknown
CC46218_2019-2020,345,145,0,unknown
CV53851_2009-2010,364,164,0,unknown
CV58889_2015-2016,347,147,0.19824999999999998,unknown
CV58383_2011-2012,49,214,0.656875,unknown
CV58652_2013-2014,342,142,0.6727500000000001,unknown
CV58497_2013-2014,244,44,1,unknown
CV43299_2007-2008,93,258,1,unknown
CV67943_2015-2016,72,237,0.9065000000000001,unknown
CV56845_2010-2011,355,155,0.09512500000000002,unknown
CV53993_2009-2010,55,220,0.8745,unknown
CV56158_2009-2010,140,305,1,unknown
CV09570_2007-2008,32,197,1,unknown
CV56652_2019-2020,339,139,0.2965,unknown
CV58557_2012-2013,336,136,0.19824999999999998,unknown
CV68195_2016-2017,140,305,1,unknown
CV43389_2007-2008,121,286,0.982875,unknown
CV56947_2010-2011,29,194,0.6102500000000001,unknown
CV78823_2020-2021,107,272,1,unknown
CV43346_2007-2008,101,266,1,unknown
CV56573_2010-2011,312,112,1,unknown
CV56904_2010-2011,29,194,0.042625,unknown
CV58375_2011-2012,49,214,0.6102500000000001,unknown
CV58587_2012-2013,33,198,0.656875,unknown
CV58887_2015-2016,347,147,0.042625,unknown
CC46246_2019-2020,346,146,0.24650000000000002,unknown
CV58390_2011-2012,49,214,0.6415000000000001,unknown
CV46757_2008-2009,331,131,1,unknown
CV56856_2010-2011,355,155,0.334375,unknown
CV43247_2007-2008,67,232,0.8951250000000001,unknown
CA49877_2021-2022,355,155,1,unknown
CV53843_2009-2010,364,164,0.34862499999999996,unknown
CV08407_2006-2007,127,292,1,unknown
CV56191_2009-2010,145,310,1,unknown
CC09259_2019-2020,338,138,1,unknown
CC03599_2019-2020,344,144,0.261125,unknown
CC46205_2019-2020,345,145,0.12912500000000002,unknown
CC15743_2018-2019,89,254,1,unknown
CV68139_2016-2017,70,235,0.6415000000000001,unknown
CV67953_2015-2016,94,259,1,unknown
CV56185_2009-2010,145,310,1,unknown
CC46256_2019-2020,346,146,0.14125,unknown
CV69802_2018-2019,54,219,0.832125,unknown
CC46271_2019-2020,346,146,0.374375,unknown
CV58386_2011-2012,49,214,0.2965,unknown
CV69856_2018-2019,61,226,1,unknown
CV56296_2009-2010,193,358,0,unknown
CV69765_2018-2019,13,178,0.32225000000000004,unknown
CV09236_2009-2010,330,130,1,unknown
CV68114_2016-2017,42,207,0.533125,unknown
